name_nom,description_en,description_fr
Year,year,année
North_acoustic_biomass,Fall spawners acoustic biomass indes in tons (t) for the North region,Indice de biomasse acoustique des reproducteurs d'automne en tonnes (t) pour la région Nord
Middle_acoustic_biomass,Fall spawners acoustic biomass indes in tons (t) for the Middle region,Indice de biomasse acoustique des reproducteurs d'automne en tonnes (t) pour la région Centrale
South_acoustic_biomass,Fall spawners acoustic biomass indes in tons (t) for the South region,Indice de biomasse acoustique des reproducteurs d'automne en tonnes (t) pour la région Sud
