# p258
   0.72   0.93   0.89   0.92   0.87   0.86   0.74   0.65   0.69   0.66   0.73   0.71   0.71   0.74   0.85   0.87   0.86   0.90   0.96   0.96   0.98   0.95   0.95   0.99   0.92   0.94   1.00   1.00   1.00   1.00   1.00    1.00    1.00 1	1	1	1
   0.41   0.88   0.98   0.64   0.74   0.55   0.20   0.52   0.24   0.26   0.31   0.36   0.42   0.50   0.42   0.49   0.72   0.67   0.62   0.73   0.74   0.77   0.97   0.98   1.00   1.00   0.96   1.00   0.99   0.97   1.00    1.00    1.00 1	1	1	1
   0.85   0.90   0.93   0.83   0.79   0.77   0.76   0.58   0.47   0.46   0.49   0.51   0.53   0.55   0.62   0.62   0.72   0.77   0.80   0.81   0.87   0.83   0.97   0.93   0.94   0.94   0.93   0.99   0.84   0.96   1.00    1.00    1.00 1	1	1	1

# y1cal yTcal a1cal aTcal
  9 45 4 10

# rsel1 258
0.0520	0.1289	0.1541	0.2374	0.2731	0.3442	0.3970
0.0818	0.1626	0.2240	0.2724	0.3303	0.3849	0.4315
0.0899	0.1395	0.2261	0.2835	0.3387	0.4045	0.5227
0.0422	0.1367	0.2000	0.2639	0.3118	0.3604	0.4416
0.0311	0.0794	0.1614	0.2277	0.3009	0.3447	0.4112
0.0328	0.0867	0.1917	0.2407	0.3091	0.3644	0.4277
0.0681	0.1328	0.1945	0.2946	0.3620	0.4174	0.5091
0.0869	0.1510	0.2311	0.2665	0.3571	0.4269	0.4726

# y1calx yTcalx a1calx aTcalx
  25 45 3 9

# rsel3 xnets
0.3314	0.5435	0.5828	0.5981	0.5985	0.5839	0.5587
0.3646	0.5438	0.5836	0.5985	0.5989	0.5866	0.5666
0.3274	0.5372	0.5808	0.5970	0.5978	0.5853	0.5670
0.2738	0.5169	0.5812	0.5937	0.5984	0.5892	0.5720
0.3879	0.5348	0.5784	0.5946	0.5977	0.5933	0.5675
0.2988	0.5143	0.5778	0.5926	0.5987	0.5933	0.5810
0.2030	0.3883	0.5555	0.5910	0.5957	0.5957	0.5914
0.2854	0.4753	0.5542	0.5845	0.5957	0.5951	0.5806
0.2499	0.3987	0.5399	0.5745	0.5944	0.5942	0.5938
0.1980	0.3704	0.4997	0.5754	0.5874	0.5942	0.5943
0.1479	0.3183	0.5093	0.5628	0.5902	0.5962	0.5948
0.3251	0.3701	0.5261	0.5627	0.5852	0.5986	0.6031
0.3556	0.4871	0.5299	0.5680	0.5794	0.5922	0.6002
0.2882	0.4698	0.5509	0.5695	0.5889	0.5963	0.6008
0.2883	0.4234	0.5448	0.5822	0.5906	0.5977	0.6012
0.2564	0.3502	0.5085	0.5777	0.5913	0.5989	0.5997
0.3327	0.4365	0.5100	0.5695	0.5887	0.5998	0.6014
0.2514	0.3574	0.3962	0.5584	0.5797	0.5952	0.5996
0.2072	0.3425	0.4849	0.5699	0.6053	0.6138	0.6168
0.3292	0.4339	0.5527	0.5926	0.6117	0.6173	0.6173
0.3995	0.5249	0.5774	0.5978	0.6006	0.6015	0.6022

# eof5
5432
