## number of indices and start and end years in scaIndex.dat
# n3PAgeSeries
3

# nTAgeSeries
2

# nAgeSeries
5

# ageIndex
1 2 3 4 5

# index min ages
2 4 3 4 2

# index max ages
11 10 9 6 3

# ageFirstYear
1 9 38 17 17

# ageLastYear
45 45 45 45 44

## proportions at age
# paaCatchN
0.05253	0.02670	0.16626	0.11339	0.02244	0.21847	0.01072	0.01027	0.01292	0.04108	0.07900	0.00422	0.03300	0.00643	0.00120	0.00000	0.00000	0.00000	0.00037	0.04113	0.00292	0.00000	0.00029	0.01156	0.01694	0.00388	0.00041	0.02159	0.00078	0.01168	0.03770	0.00257	0.00155	0.00001	0.00023	0.00021	0.00000	0.00000	0.02864	0.00492	0.00000	0.00000	0.00000	0.00075	0.00099
0.28214	0.15999	0.15127	0.54564	0.41962	0.42367	0.25997	0.05878	0.21844	0.11135	0.24550	0.14456	0.21523	0.36829	0.24464	0.01831	0.04532	0.00535	0.15819	0.19594	0.17374	0.26455	0.24646	0.16640	0.27157	0.17797	0.15401	0.18016	0.05270	0.04540	0.32188	0.20864	0.03948	0.01060	0.00505	0.03245	0.00000	0.01347	0.02140	0.00539	0.00391	0.00677	0.00000	0.00947	0.01089
0.15096	0.08765	0.28617	0.14468	0.43483	0.14603	0.39341	0.33404	0.18296	0.20633	0.22227	0.26912	0.15681	0.10196	0.57336	0.31728	0.06561	0.23621	0.07983	0.40958	0.15606	0.35155	0.47126	0.40949	0.23893	0.37315	0.27942	0.35534	0.23185	0.10966	0.06807	0.37069	0.26316	0.05468	0.06021	0.04183	0.17068	0.03947	0.06422	0.04191	0.04384	0.01228	0.03090	0.08960	0.02374
0.04296	0.16196	0.08947	0.08564	0.05122	0.16577	0.13701	0.26122	0.33401	0.17891	0.19510	0.23841	0.16481	0.07967	0.08136	0.41666	0.32477	0.08178	0.42277	0.07259	0.33423	0.13905	0.17366	0.29045	0.21723	0.17461	0.19720	0.24318	0.38689	0.31104	0.11872	0.08584	0.38772	0.31823	0.26807	0.23726	0.09417	0.37317	0.34658	0.14394	0.16146	0.11119	0.02362	0.10839	0.14031
0.06302	0.03899	0.03949	0.04025	0.03143	0.03207	0.14271	0.14119	0.15330	0.35833	0.09132	0.12942	0.28681	0.10646	0.03526	0.07922	0.43528	0.28501	0.04113	0.15218	0.06132	0.08779	0.05610	0.08800	0.20277	0.11777	0.14066	0.07389	0.14289	0.31413	0.14080	0.18960	0.11266	0.40861	0.35698	0.36239	0.30331	0.16089	0.28446	0.26570	0.42461	0.37457	0.27071	0.13897	0.12122
0.21078	0.08808	0.05211	0.04441	0.02759	0.00947	0.04371	0.13306	0.05941	0.03482	0.09509	0.08178	0.06014	0.12265	0.01940	0.03962	0.05321	0.24730	0.11154	0.03009	0.10988	0.03549	0.03108	0.01898	0.03726	0.11783	0.12486	0.05929	0.07286	0.12093	0.22510	0.09120	0.09845	0.07782	0.25119	0.21964	0.33492	0.26729	0.15868	0.32613	0.31364	0.17741	0.28507	0.37172	0.22587
0.01114	0.08013	0.10359	0.00353	0.00004	0.00303	0.01011	0.05090	0.02893	0.03144	0.07041	0.07221	0.04347	0.07392	0.01435	0.02672	0.01712	0.03319	0.12491	0.03550	0.02363	0.07775	0.00924	0.00627	0.00489	0.02642	0.07321	0.04270	0.05436	0.04834	0.04060	0.03173	0.05616	0.05856	0.02859	0.09549	0.06450	0.10796	0.07092	0.18565	0.03153	0.23244	0.21744	0.20517	0.29650
0.00660	0.05459	0.02810	0.00577	0.00001	0.00072	0.00139	0.01040	0.00380	0.03539	0.00128	0.03328	0.03277	0.03804	0.00747	0.04114	0.02173	0.00573	0.03051	0.03770	0.05300	0.00757	0.00824	0.00000	0.00415	0.00347	0.02540	0.01836	0.04306	0.02416	0.03836	0.01351	0.02618	0.05499	0.01609	0.00887	0.03242	0.03775	0.02509	0.02546	0.02101	0.07113	0.10521	0.05166	0.14189
0.17880	0.30191	0.07070	0.01655	0.01283	0.00077	0.00098	0.00014	0.00624	0.00224	0.00003	0.02700	0.00697	0.10258	0.02296	0.06106	0.03696	0.10542	0.03075	0.02529	0.08521	0.03625	0.00367	0.00883	0.00626	0.00491	0.00484	0.00298	0.01458	0.01464	0.00877	0.00623	0.01463	0.01651	0.01358	0.00186	0.00001	0.00000	0.00000	0.00090	0.00000	0.01422	0.06705	0.02427	0.03859

#paaCatchS                                                                                                                                                                                                                           
0.03154	0.16932	0.00835	0.03511	0.00000	0.00000	0.00000	0.00000	0.01333	0.00009	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00040	0.00000	0.00000	0.00000	0.00028	0.00303	0.00948	0.01093	0.00184	0.00599	0.00000	0.00309	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.45010	0.06631	0.33404	0.29586	0.04995	0.08011	0.02183	0.01061	0.04076	0.02145	0.01025	0.00215	0.01508	0.00424	0.00332	0.00000	0.00000	0.00862	0.02037	0.03640	0.00005	0.01145	0.02571	0.07164	0.03207	0.03758	0.02752	0.00004	0.00529	0.00771	0.00542	0.00565	0.00005	0.00001	0.00000	0.00032	0.00000	0.00180	0.01256	0.00012	0.00000	0.00000	0.00000	0.00000	0.00000
0.17354	0.28450	0.15313	0.45909	0.38313	0.36668	0.49517	0.10813	0.43964	0.19036	0.09245	0.06363	0.08684	0.29805	0.07769	0.02532	0.05603	0.01095	0.08268	0.08387	0.17533	0.13323	0.15193	0.05309	0.27236	0.10133	0.15521	0.00535	0.03970	0.00413	0.09011	0.03298	0.03142	0.00526	0.00056	0.01309	0.01286	0.00002	0.01882	0.02452	0.00154	0.00282	0.00088	0.00241	0.01013
